Kategoria,Nazwa,Cena,URL Obrazu
Katia Cotton Merino Fine,"Włóczka, Katia Cotton Merino Fine, 92 oliwkowy","24,17 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4376/Wloczka%2C-Katia-Cotton-Merino-Fine%2C-92-oliwkowy.jpg
Katia Cotton Merino Fine,"Włóczka, Katia Cotton Merino Fine, 95 petrol","24,17 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4377/Wloczka%2C-Katia-Cotton-Merino-Fine%2C-95-petrol.jpg
Katia Cotton Merino Fine,"Włóczka, Katia Cotton Merino Fine, 97 niebiesko szary","24,17 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx___overlay.jpg
Katia Cotton Merino,"Włóczka, Katia Cotton Merino, 100 ecru","21,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4056/Wloczka%2C-Katia-Cotton-Merino%2C-100-ecru.jpg
Drops Alpaca,"Drops Alpaca, 2020 jasny nugat, 100% Alpaka","18,10 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_3148/wloczka%2C-Drops-Alpaca%2C-kolor-jasny-nugat%2C-nr-2020.jpg
Tynn Peer Gynt,"Tynn Peer Gynt, Sandnes Garn, kobalt 6046","20,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4399/wloczka%2C-Tynn-Peer-Gynt%2C-Sandnes-Garn%2C-kobalt-6046.jpg
Drops Merino Extra Fine,"Wełna Merino, DROPS Merino Extra Fine, 01 ecru","17,60 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_2905/wloczka-merino%2C-Drops-Merino-Extra-Fine%2C-kolor-01-ecru.jpg
Drops Paris,"Włóczka Drops, Paris, 17 ecru, bawełna","6,80 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_1793/Wloczka-Drops%2C-Paris%2C-17-ecru%2C-bawelna.jpg
Drops Eskimo,"Włóczka, Eskimo, 46  średni szary, Wełna","10,30 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_1546/Gruba-wloczka%2C--DROPS-Eskimo%2C-kolor-46--sredni-szary%2C-Welna.jpg
Gabo Wool Fine Highland Wool,"Włóczka, Gabo Wool Fine Highland Wool, 100 naturalny","33,90 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4510/Wloczka%2C-Gabo-Wool-Fine-Highland-Wool%2C-100-naturalny.jpg
Peer Gynt,"włóczka, Peer Gynt, Sandnes Garn, czarny 1099","20,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4441/wloczka%2C-Peer-Gynt%2C-Sandnes-Garn%2C-czarny-1099.jpg
Summer i Kashmir,"Włóczka, BC Garn, Summer in Kashmir, 15 ciemny musztardowy","25,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4411/Wloczka%2C-BC-Garn%2C-Summer-in-Kashmir%2C-kolor-15-ciemny-musztardowy.jpg
Katia Cotton Merino,"Włóczka, Katia Cotton Merino, 101 jasny beżowy","21,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4070/Wloczka%2C-Katia-Cotton-Merino%2C-kolor-101-jasny-bezowy.jpg
Tynn Peer Gynt,"Tynn Peer Gynt, Sandnes Garn, bardzo ciemny niebieski 5575","20,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4401/Tynn-Peer-Gynt%2C-Sandnes-Garn%2C-bardzo-ciemny-niebieski-9080.jpg
Drops Merino Extra Fine,"Wełna Merino, DROPS Merino Extra Fine, 05 jasny szary","17,60 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_458/Welna-Merino%2C-DROPS-Merino-Extra-Fine%2C-kolor-05-jasny-szary.jpg
Drops Paris,"Włóczka Drops, Paris, 26 ciemny beżowy, bawełna","6,80 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_1795/Wloczka-Drops%2C-Paris%2C-26-ciemny-bezowy%2C-bawelna.jpg
Drops Alpaca,"Włóczka, Drops Alpaca, 618 nugat, 100% Alpaka","18,10 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_2683/Wloczka%2C-Alpaca-%2CDrops%2C-kolor-nugat-618.jpg
Gabo Wool Fine Highland Wool,"Włóczka, Gabo Wool Fine Highland Wool, AM 8412 migdałowy","33,90 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4512/Wloczka%2C-Gabo-Wool-Fine-Highland-Wool%2C-AM-8412-migdalowy.jpg
Summer i Kashmir,"Włóczka, BC Garn, Summer in Kashmir, 22 mglisty las","25,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4416/Wloczka%2C-BC-Garn%2C-Summer-in-Kashmir%2C-kolor-22-mglisty-las.jpg
Katia Cotton Merino,"Włóczka, Katia Cotton Merino, 106 jasnoszary","21,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4072/Wloczka%2C-Katia-Cotton-Merino%2C-106-jasnoszary.jpg
Drops Merino Extra Fine,"Wełna Merino, DROPS Merino Extra Fine, 04 szary","17,60 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_2169/wloczka-Drops-merino-extra-fine-kolor-szary.jpg
Gabo Wool Fine Highland Wool,"Włóczka, Gabo Wool Fine Highland Wool Tweed, T100 naturalny","33,90 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4514/Wloczka%2C-Gabo-Wool-Fine-Highland-Wool-Tweed%2C-T100-naturalny.jpg
